trim3 reads
P01-01-H-n04_fun_fwd-n03_fun_rev 2
P01-01-H-n06_gi_fwd-n08_gi_rev 2
P01-01-A-n06_gi_fwd-n04_gi_rev 1
P01-01-C-n09_gi_fwd-n08_gi_rev 14
P01-01-H-n07_gi_fwd-n07_gi_rev 164
P01-01-A-n04_fun_fwd-n03_fun_rev 35
P01-01-E-n06_gi_fwd-n04_fun_rev 1
P01-02-A-n05_fun_fwd-n05_fun_rev 1
P01-01-D-n06_gi_fwd-n07_gi_rev 75
P01-01-A-n05_fun_fwd-n01_fun_rev 1
P01-01-E-n04_gi_fwd-n07_gi_rev 2
P01-01-C-n03_fun_fwd-n02_fun_rev 10
P01-01-D-n06_gi_fwd-n08_gi_rev 3
P01-01-B-n03_fun_fwd-n06_fun_rev 2
P01-01-A-n04_gi_fwd-n06_gi_rev 1
P01-01-H-n07_fun_fwd-n06_fun_rev 1
P01-01-E-n06_fun_fwd-n07_fun_rev 1
P01-02-A-n04_fun_fwd-n04_fun_rev 1
P01-01-G-n09_gi_fwd-n09_gi_rev 65
P01-01-E-n06_gi_fwd-n05_gi_rev 2
P01-01-H-n07_gi_fwd-n08_gi_rev 6
P01-01-C-n02_fun_fwd-n03_fun_rev 9
P01-01-B-n02_fun_fwd-n04_fun_rev 1
P01-01-A-n06_fun_fwd-n04_fun_rev 2
P01-01-E-n04_fun_fwd-n03_fun_rev 43
P01-01-D-n04_fun_fwd-n04_fun_rev 7084
P01-01-H-n06_gi_fwd-n07_gi_rev 27
P01-01-C-n08_gi_fwd-n08_gi_rev 848
P01-01-C-n01_fun_fwd-n05_fun_rev 1
P01-01-D-n07_gi_fwd-n07_gi_rev 456
P01-01-A-n08_fun_fwd-n05_fun_rev 1
P01-01-G-n03_fun_fwd-n02_fun_rev 8
P01-01-A-n07_fun_fwd-n06_fun_rev 1
P01-01-D-n05_fun_fwd-n06_fun_rev 14
P01-01-E-n05_gi_fwd-n07_gi_rev 2
P01-01-E-n05_fun_fwd-n01_fun_rev 2
P01-01-D-n06_gi_fwd-n06_gi_rev 601
P01-01-G-n06_fun_fwd-n08_fun_rev 1
P01-01-E-n06_fun_fwd-n06_fun_rev 350
