sample input filtered denoised.fwd denoised.rev merged
P01-01-C-n03_fun_fwd-n04_fun_rev 10 10 10 10 10
P01-01-C-n04_fun_fwd-n01_fun_rev 1 1 1 1 1
P01-01-C-n04_fun_fwd-n03_fun_rev 14 13 13 13 13
P01-01-C-n04_fun_fwd-n04_fun_rev 3654 3592 3584 3589 3583
P01-01-C-n04_fun_fwd-n05_fun_rev 18 18 18 18 18
P01-01-C-n04_fun_fwd-n06_fun_rev 1 1 1 1 1
P01-01-C-n04_gi_fwd-n06_gi_rev 2 2 NA NA NA
P01-01-C-n05_fun_fwd-n03_fun_rev 1 1 1 1 1
P01-01-C-n05_fun_fwd-n04_fun_rev 39 38 38 38 38
P01-01-C-n05_fun_fwd-n05_fun_rev 3157 3079 3078 3079 3078
P01-01-C-n05_fun_fwd-n06_fun_rev 8 8 8 8 8
P01-01-C-n05_gi_fwd-n06_gi_rev 33 33 NA NA NA
P01-01-C-n05_gi_fwd-n07_gi_rev 2 2 NA NA NA
P01-01-C-n06_fun_fwd-n05_fun_rev 6 6 6 6 6
P01-01-C-n06_fun_fwd-n06_fun_rev 332 322 322 322 322
P01-01-C-n06_gi_fwd-n05_gi_rev 5 5 NA NA NA
P01-01-C-n06_gi_fwd-n06_gi_rev 715 706 NA NA NA
P01-01-C-n06_gi_fwd-n07_gi_rev 32 31 NA NA NA
P01-01-C-n06_gi_fwd-n08_gi_rev 1 1 NA NA NA
P01-01-C-n07_fun_fwd-n06_fun_rev 2 2 2 2 0
P01-01-C-n07_gi_fwd-n06_gi_rev 2 2 NA NA NA
P01-01-C-n07_gi_fwd-n07_gi_rev 193 188 NA NA NA
P01-01-C-n07_gi_fwd-n08_gi_rev 25 25 NA NA NA
P01-01-C-n08_gi_fwd-n06_gi_rev 1 0 NA NA NA
P01-01-C-n08_gi_fwd-n07_gi_rev 4 4 NA NA NA
P01-01-C-n08_gi_fwd-n08_gi_rev 830 819 NA NA NA
P01-01-C-n08_gi_fwd-n09_gi_rev 12 12 NA NA NA
P01-01-C-n09_gi_fwd-n08_gi_rev 13 13 NA NA NA
P01-01-C-n09_gi_fwd-n09_gi_rev 329 321 NA NA NA
P01-01-C-n09_gi_fwd-n10_gi_rev 1 1 NA NA NA
P01-01-C-n10_gi_fwd-n09_gi_rev 1 1 NA NA NA
P01-01-D-n01_fun_fwd-n04_fun_rev 1 1 1 1 1
P01-01-D-n02_fun_fwd-n03_fun_rev 3 3 3 3 3
P01-01-D-n02_fun_fwd-n04_fun_rev 2 2 2 2 2
P01-01-D-n02_fun_fwd-n05_fun_rev 2 1 1 1 1
P01-01-D-n03_fun_fwd-n01_fun_rev 1 1 1 1 1
P01-01-D-n03_fun_fwd-n02_fun_rev 20 20 20 20 20
P01-01-D-n03_fun_fwd-n03_fun_rev 1705 1661 1656 1656 1656
P01-01-D-n03_fun_fwd-n04_fun_rev 34 34 34 34 34
P01-01-D-n04_fun_fwd-n01_fun_rev 1 1 1 1 1
P01-01-D-n04_fun_fwd-n02_fun_rev 3 3 3 3 3
P01-01-D-n04_fun_fwd-n03_fun_rev 51 51 51 51 51
P01-01-D-n04_fun_fwd-n04_fun_rev 7046 6901 6893 6900 6892
P01-01-D-n04_fun_fwd-n05_fun_rev 19 19 19 19 19
P01-01-D-n04_gi_fwd-n06_gi_rev 2 2 NA NA NA
P01-01-D-n05_fun_fwd-n03_fun_rev 1 1 1 1 0
P01-01-D-n05_fun_fwd-n04_fun_rev 45 44 44 44 44
P01-01-D-n05_fun_fwd-n05_fun_rev 2668 2598 2595 2595 2595
P01-01-D-n05_fun_fwd-n06_fun_rev 10 10 10 10 10
P01-01-D-n05_gi_fwd-n06_gi_rev 21 21 NA NA NA
P01-01-D-n05_gi_fwd-n07_gi_rev 3 3 NA NA NA
P01-01-D-n05_gi_fwd-n08_gi_rev 1 1 NA NA NA
P01-01-D-n06_fun_fwd-n05_fun_rev 7 6 6 6 0
P01-01-D-n06_fun_fwd-n06_fun_rev 174 169 169 169 169
P01-01-D-n06_gi_fwd-n05_gi_rev 2 2 NA NA NA
P01-01-D-n06_gi_fwd-n06_gi_rev 597 585 NA NA NA
P01-01-D-n06_gi_fwd-n07_gi_rev 74 74 NA NA NA
P01-01-D-n06_gi_fwd-n08_gi_rev 3 3 NA NA NA
P01-01-D-n07_gi_fwd-n06_gi_rev 4 4 NA NA NA
P01-01-D-n07_gi_fwd-n07_gi_rev 450 440 NA NA NA
P01-01-D-n07_gi_fwd-n08_gi_rev 27 27 NA NA NA
P01-01-D-n07_gi_fwd-n09_gi_rev 2 2 NA NA NA
P01-01-D-n08_gi_fwd-n05_gi_rev 1 1 NA NA NA
P01-01-D-n08_gi_fwd-n07_gi_rev 7 7 NA NA NA
P01-01-D-n08_gi_fwd-n08_gi_rev 583 574 NA NA NA
P01-01-D-n08_gi_fwd-n09_gi_rev 3 3 NA NA NA
P01-01-D-n09_gi_fwd-n08_gi_rev 3 3 NA NA NA
P01-01-D-n09_gi_fwd-n09_gi_rev 74 73 NA NA NA
P01-01-D-n10_gi_fwd-n09_gi_rev 1 1 NA NA NA
P01-01-E-n01_fun_fwd-n03_fun_rev 1 1 1 1 1
P01-01-E-n02_fun_fwd-n03_fun_rev 8 8 8 8 8
P01-01-E-n02_fun_fwd-n04_fun_rev 1 1 1 1 1
P01-01-E-n03_fun_fwd-n02_fun_rev 18 18 18 18 18
P01-01-E-n03_fun_fwd-n03_fun_rev 2769 2714 2693 2710 2693
P01-01-E-n03_fun_fwd-n04_fun_rev 16 16 16 16 16
P01-01-E-n03_fun_fwd-n05_fun_rev 1 1 1 1 1
P01-01-E-n04_fun_fwd-n02_fun_rev 1 1 1 1 0
P01-01-E-n04_fun_fwd-n03_fun_rev 35 35 35 35 35
P01-01-E-n04_fun_fwd-n04_fun_rev 5335 5252 5240 5251 5240
P01-01-E-n04_fun_fwd-n05_fun_rev 17 17 17 17 17
P01-01-E-n04_gi_fwd-n07_gi_rev 2 2 NA NA NA
P01-01-E-n05_fun_fwd-n01_fun_rev 2 2 2 2 2
P01-01-E-n05_fun_fwd-n03_fun_rev 1 1 1 1 1
P01-01-E-n05_fun_fwd-n04_fun_rev 38 37 37 37 37
P01-01-E-n05_fun_fwd-n05_fun_rev 4347 4237 4237 4237 4237
P01-01-E-n05_fun_fwd-n06_fun_rev 8 8 8 8 8
P01-01-E-n05_gi_fwd-n06_gi_rev 11 11 NA NA NA
P01-01-E-n05_gi_fwd-n07_gi_rev 2 2 NA NA NA
P01-01-E-n05_gi_fwd-n08_gi_rev 1 1 NA NA NA
P01-01-E-n06_fun_fwd-n05_fun_rev 10 10 10 10 10
P01-01-E-n06_fun_fwd-n06_fun_rev 349 344 344 344 344
P01-01-E-n06_gi_fwd-n05_gi_rev 2 2 NA NA NA
P01-01-E-n06_gi_fwd-n06_gi_rev 200 199 NA NA NA
P01-01-E-n06_gi_fwd-n07_gi_rev 85 83 NA NA NA
P01-01-E-n06_gi_fwd-n08_gi_rev 3 3 NA NA NA
P01-01-E-n07_gi_fwd-n07_gi_rev 609 602 NA NA NA
P01-01-E-n07_gi_fwd-n08_gi_rev 23 23 NA NA NA
P01-01-E-n07_gi_fwd-n09_gi_rev 1 1 NA NA NA
P01-01-E-n08_gi_fwd-n07_gi_rev 8 8 NA NA NA
P01-01-E-n08_gi_fwd-n08_gi_rev 493 489 NA NA NA
P01-01-E-n08_gi_fwd-n09_gi_rev 19 18 NA NA NA
P01-01-E-n09_gi_fwd-n07_gi_rev 1 1 NA NA NA
P01-01-E-n09_gi_fwd-n08_gi_rev 15 14 NA NA NA
P01-01-E-n09_gi_fwd-n09_gi_rev 670 660 NA NA NA
P01-01-E-n10_gi_fwd-n09_gi_rev 3 3 NA NA NA
P01-01-F-n01_fun_fwd-n04_fun_rev 1 1 1 1 0
P01-01-F-n02_fun_fwd-n03_fun_rev 4 4 3 3 3
P01-01-F-n02_fun_fwd-n05_fun_rev 1 1 1 1 1
P01-01-F-n03_fun_fwd-n02_fun_rev 5 4 4 4 4
P01-01-F-n03_fun_fwd-n03_fun_rev 1026 1013 1006 1008 1006
P01-01-F-n03_fun_fwd-n04_fun_rev 32 29 29 29 29
P01-01-F-n03_fun_fwd-n06_fun_rev 1 1 1 1 1
P01-01-F-n04_fun_fwd-n01_fun_rev 3 3 3 3 3
P01-01-F-n04_fun_fwd-n02_fun_rev 1 1 1 1 0
P01-01-F-n04_fun_fwd-n03_fun_rev 91 88 88 88 88
P01-01-F-n04_fun_fwd-n04_fun_rev 12734 12514 12500 12513 12500
P01-01-F-n04_fun_fwd-n05_fun_rev 34 33 33 33 33
P01-01-F-n04_fun_fwd-n06_fun_rev 1 1 1 1 1
P01-01-F-n04_gi_fwd-n07_gi_rev 2 2 NA NA NA
P01-01-F-n05_fun_fwd-n02_fun_rev 1 1 1 1 1
P01-01-F-n05_fun_fwd-n04_fun_rev 30 29 29 29 29
P01-01-F-n05_fun_fwd-n05_fun_rev 1795 1762 1761 1761 1760
P01-01-F-n05_fun_fwd-n06_fun_rev 12 12 12 12 12
P01-01-F-n05_gi_fwd-n06_gi_rev 12 12 NA NA NA
P01-01-F-n05_gi_fwd-n07_gi_rev 13 12 NA NA NA
P01-01-F-n06_fun_fwd-n04_fun_rev 3 3 3 3 0
P01-01-F-n06_fun_fwd-n05_fun_rev 31 30 30 30 30
P01-01-F-n06_fun_fwd-n06_fun_rev 2685 2616 2607 2615 2607
P01-01-F-n06_fun_fwd-n07_fun_rev 9 9 9 9 9
P01-01-F-n06_gi_fwd-n06_gi_rev 289 284 NA NA NA
P01-01-F-n06_gi_fwd-n07_gi_rev 204 200 NA NA NA
P01-01-F-n06_gi_fwd-n08_gi_rev 4 4 NA NA NA
P01-01-F-n07_fun_fwd-n06_fun_rev 3 3 3 3 2
P01-01-F-n07_gi_fwd-n06_gi_rev 3 2 NA NA NA
P01-01-F-n07_gi_fwd-n07_gi_rev 1313 1297 NA NA NA
P01-01-F-n07_gi_fwd-n08_gi_rev 38 37 NA NA NA
P01-01-F-n07_gi_fwd-n09_gi_rev 3 3 NA NA NA
P01-01-F-n08_gi_fwd-n04_gi_rev 1 0 NA NA NA
P01-01-F-n08_gi_fwd-n07_gi_rev 23 23 NA NA NA
P01-01-F-n08_gi_fwd-n08_gi_rev 1123 1105 NA NA NA
P01-01-F-n08_gi_fwd-n09_gi_rev 23 23 NA NA NA
P01-01-F-n09_gi_fwd-n06_gi_rev 1 1 NA NA NA
P01-01-F-n09_gi_fwd-n07_gi_rev 2 2 NA NA NA
P01-01-F-n09_gi_fwd-n08_gi_rev 23 23 NA NA NA
P01-01-F-n09_gi_fwd-n09_gi_rev 643 636 NA NA NA
P01-01-F-n09_gi_fwd-n10_gi_rev 1 1 NA NA NA
P01-01-F-n10_gi_fwd-n09_gi_rev 2 2 NA NA NA
P01-01-G-n02_fun_fwd-n03_fun_rev 3 3 3 3 2
P01-01-G-n03_fun_fwd-n01_fun_rev 1 1 1 1 1
P01-01-G-n03_fun_fwd-n02_fun_rev 6 6 6 6 6
P01-01-G-n03_fun_fwd-n03_fun_rev 789 774 773 742 741
P01-01-G-n03_fun_fwd-n04_fun_rev 2 2 1 1 0
P01-01-G-n04_fun_fwd-n03_fun_rev 2 2 2 2 2
P01-01-G-n04_fun_fwd-n04_fun_rev 427 423 423 416 416
P01-01-G-n04_fun_fwd-n05_fun_rev 7 7 6 6 6
P01-01-G-n04_gi_fwd-n08_gi_rev 1 1 NA NA NA
P01-01-G-n05_fun_fwd-n01_fun_rev 1 0 NA NA NA
P01-01-G-n05_fun_fwd-n04_fun_rev 9 8 7 7 6
P01-01-G-n05_fun_fwd-n05_fun_rev 610 593 589 589 498
P01-01-G-n05_fun_fwd-n06_fun_rev 3 3 3 3 3
P01-01-G-n05_gi_fwd-n06_gi_rev 12 11 NA NA NA
P01-01-G-n06_fun_fwd-n05_fun_rev 2 2 2 2 2
P01-01-G-n06_fun_fwd-n06_fun_rev 278 272 271 258 249
P01-01-G-n06_gi_fwd-n06_gi_rev 274 270 NA NA NA
