sample input filtered denoised.fwd denoised.rev merged
P01-01-E-n04_fun_fwd-n04_fun_rev 5335 5252 NA NA NA
P01-01-E-n04_fun_fwd-n05_fun_rev 17 17 NA NA NA
P01-01-E-n04_gi_fwd-n07_gi_rev 2 2 2 2 2
P01-01-E-n05_fun_fwd-n01_fun_rev 2 2 NA NA NA
P01-01-E-n05_fun_fwd-n03_fun_rev 1 1 NA NA NA
P01-01-E-n05_fun_fwd-n04_fun_rev 38 37 NA NA NA
P01-01-E-n05_fun_fwd-n05_fun_rev 4347 4237 NA NA NA
P01-01-E-n05_fun_fwd-n06_fun_rev 8 8 NA NA NA
P01-01-E-n05_gi_fwd-n06_gi_rev 11 11 11 11 11
P01-01-E-n05_gi_fwd-n07_gi_rev 2 2 2 2 1
P01-01-E-n05_gi_fwd-n08_gi_rev 1 1 1 1 1
P01-01-E-n06_fun_fwd-n05_fun_rev 10 10 NA NA NA
P01-01-E-n06_fun_fwd-n06_fun_rev 349 344 NA NA NA
P01-01-E-n06_gi_fwd-n05_gi_rev 2 2 2 2 2
P01-01-E-n06_gi_fwd-n06_gi_rev 200 199 199 199 199
P01-01-E-n06_gi_fwd-n07_gi_rev 85 83 83 83 58
P01-01-E-n06_gi_fwd-n08_gi_rev 3 3 3 3 3
P01-01-E-n07_gi_fwd-n07_gi_rev 609 602 602 602 463
P01-01-E-n07_gi_fwd-n08_gi_rev 23 23 23 23 23
P01-01-E-n07_gi_fwd-n09_gi_rev 1 1 1 1 1
P01-01-E-n08_gi_fwd-n07_gi_rev 8 8 8 8 0
P01-01-E-n08_gi_fwd-n08_gi_rev 493 489 489 489 489
P01-01-E-n08_gi_fwd-n09_gi_rev 19 18 18 18 18
P01-01-E-n09_gi_fwd-n07_gi_rev 1 1 1 1 1
P01-01-E-n09_gi_fwd-n08_gi_rev 15 14 14 14 14
P01-01-E-n09_gi_fwd-n09_gi_rev 670 660 660 659 659
P01-01-E-n10_gi_fwd-n09_gi_rev 3 3 3 3 3
P01-01-F-n01_fun_fwd-n04_fun_rev 1 1 NA NA NA
P01-01-F-n02_fun_fwd-n03_fun_rev 4 4 NA NA NA
P01-01-F-n02_fun_fwd-n05_fun_rev 1 1 NA NA NA
P01-01-F-n03_fun_fwd-n02_fun_rev 5 4 NA NA NA
P01-01-F-n03_fun_fwd-n03_fun_rev 1026 1013 NA NA NA
P01-01-F-n03_fun_fwd-n04_fun_rev 32 29 NA NA NA
P01-01-F-n03_fun_fwd-n06_fun_rev 1 1 NA NA NA
P01-01-F-n04_fun_fwd-n01_fun_rev 3 3 NA NA NA
P01-01-F-n04_fun_fwd-n02_fun_rev 1 1 NA NA NA
P01-01-F-n04_fun_fwd-n03_fun_rev 91 88 NA NA NA
P01-01-F-n04_fun_fwd-n04_fun_rev 12734 12514 NA NA NA
P01-01-F-n04_fun_fwd-n05_fun_rev 34 33 NA NA NA
P01-01-F-n04_fun_fwd-n06_fun_rev 1 1 NA NA NA
P01-01-F-n04_gi_fwd-n07_gi_rev 2 2 2 2 2
P01-01-F-n05_fun_fwd-n02_fun_rev 1 1 NA NA NA
P01-01-F-n05_fun_fwd-n04_fun_rev 30 29 NA NA NA
P01-01-F-n05_fun_fwd-n05_fun_rev 1795 1762 NA NA NA
P01-01-F-n05_fun_fwd-n06_fun_rev 12 12 NA NA NA
P01-01-F-n05_gi_fwd-n06_gi_rev 12 12 12 12 12
P01-01-F-n05_gi_fwd-n07_gi_rev 13 12 12 12 12
P01-01-F-n06_fun_fwd-n04_fun_rev 3 3 NA NA NA
P01-01-F-n06_fun_fwd-n05_fun_rev 31 30 NA NA NA
P01-01-F-n06_fun_fwd-n06_fun_rev 2685 2616 NA NA NA
P01-01-F-n06_fun_fwd-n07_fun_rev 9 9 NA NA NA
P01-01-F-n06_gi_fwd-n06_gi_rev 289 284 284 284 284
P01-01-F-n06_gi_fwd-n07_gi_rev 204 200 200 200 150
P01-01-F-n06_gi_fwd-n08_gi_rev 4 4 4 4 4
P01-01-F-n07_fun_fwd-n06_fun_rev 3 3 NA NA NA
P01-01-F-n07_gi_fwd-n06_gi_rev 3 2 2 2 2
P01-01-F-n07_gi_fwd-n07_gi_rev 1313 1297 1297 1297 1034
P01-01-F-n07_gi_fwd-n08_gi_rev 38 37 37 37 37
P01-01-F-n07_gi_fwd-n09_gi_rev 3 3 3 3 3
P01-01-F-n08_gi_fwd-n04_gi_rev 1 0 NA NA NA
P01-01-F-n08_gi_fwd-n07_gi_rev 23 23 23 23 23
P01-01-F-n08_gi_fwd-n08_gi_rev 1123 1105 1105 1105 1105
P01-01-F-n08_gi_fwd-n09_gi_rev 23 23 23 23 23
P01-01-F-n09_gi_fwd-n06_gi_rev 1 1 1 1 1
P01-01-F-n09_gi_fwd-n07_gi_rev 2 2 2 2 1
P01-01-F-n09_gi_fwd-n08_gi_rev 23 23 23 23 23
P01-01-F-n09_gi_fwd-n09_gi_rev 643 636 636 636 636
P01-01-F-n09_gi_fwd-n10_gi_rev 1 1 1 1 1
P01-01-F-n10_gi_fwd-n09_gi_rev 2 2 2 2 2
P01-01-G-n02_fun_fwd-n03_fun_rev 3 3 NA NA NA
P01-01-G-n03_fun_fwd-n01_fun_rev 1 1 NA NA NA
P01-01-G-n03_fun_fwd-n02_fun_rev 6 6 NA NA NA
P01-01-G-n03_fun_fwd-n03_fun_rev 789 774 NA NA NA
P01-01-G-n03_fun_fwd-n04_fun_rev 2 2 NA NA NA
P01-01-G-n04_fun_fwd-n03_fun_rev 2 2 NA NA NA
P01-01-G-n04_fun_fwd-n04_fun_rev 427 423 NA NA NA
P01-01-G-n04_fun_fwd-n05_fun_rev 7 7 NA NA NA
P01-01-G-n04_gi_fwd-n08_gi_rev 1 1 1 1 1
P01-01-G-n05_fun_fwd-n01_fun_rev 1 0 NA NA NA
P01-01-G-n05_fun_fwd-n04_fun_rev 9 8 NA NA NA
P01-01-G-n05_fun_fwd-n05_fun_rev 610 593 NA NA NA
P01-01-G-n05_fun_fwd-n06_fun_rev 3 3 NA NA NA
P01-01-G-n05_gi_fwd-n06_gi_rev 12 11 11 11 11
P01-01-G-n06_fun_fwd-n05_fun_rev 2 2 NA NA NA
P01-01-G-n06_fun_fwd-n06_fun_rev 278 272 NA NA NA
P01-01-G-n06_gi_fwd-n06_gi_rev 274 270 270 270 270
P01-01-G-n06_gi_fwd-n07_gi_rev 7 7 7 7 7
P01-01-G-n06_gi_fwd-n08_gi_rev 1 1 1 1 1
P01-01-G-n06_gi_fwd-n09_gi_rev 1 1 1 1 1
P01-01-G-n07_gi_fwd-n06_gi_rev 2 2 2 2 2
P01-01-G-n07_gi_fwd-n07_gi_rev 23 23 23 23 23
P01-01-G-n07_gi_fwd-n08_gi_rev 7 7 7 7 7
P01-01-G-n08_gi_fwd-n07_gi_rev 2 2 2 2 2
P01-01-G-n08_gi_fwd-n08_gi_rev 212 211 211 211 211
P01-01-G-n08_gi_fwd-n09_gi_rev 3 3 3 3 3
P01-01-G-n09_gi_fwd-n08_gi_rev 2 2 2 2 2
P01-01-G-n09_gi_fwd-n09_gi_rev 65 63 63 63 63
P01-01-H-n02_fun_fwd-n03_fun_rev 5 5 NA NA NA
P01-01-H-n02_fun_fwd-n04_fun_rev 1 1 NA NA NA
P01-01-H-n03_fun_fwd-n02_fun_rev 4 2 NA NA NA
P01-01-H-n03_fun_fwd-n03_fun_rev 790 774 NA NA NA
P01-01-H-n03_fun_fwd-n04_fun_rev 4 4 NA NA NA
P01-01-H-n04_fun_fwd-n03_fun_rev 1 1 NA NA NA
P01-01-H-n04_fun_fwd-n04_fun_rev 510 493 NA NA NA
P01-01-H-n04_fun_fwd-n05_fun_rev 5 4 NA NA NA
P01-01-H-n04_fun_fwd-n06_fun_rev 1 0 NA NA NA
P01-01-H-n04_gi_fwd-n06_gi_rev 1 1 1 1 1
P01-01-H-n05_fun_fwd-n04_fun_rev 6 5 NA NA NA
P01-01-H-n05_fun_fwd-n05_fun_rev 535 516 NA NA NA
P01-01-H-n05_fun_fwd-n06_fun_rev 3 3 NA NA NA
P01-01-H-n05_gi_fwd-n06_gi_rev 7 6 6 6 6
P01-01-H-n05_gi_fwd-n07_gi_rev 1 1 1 1 1
P01-01-H-n06_fun_fwd-n05_fun_rev 5 5 NA NA NA
P01-01-H-n06_fun_fwd-n06_fun_rev 153 145 NA NA NA
P01-01-H-n06_gi_fwd-n06_gi_rev 315 311 311 311 311
P01-01-H-n06_gi_fwd-n07_gi_rev 27 27 27 27 17
P01-01-H-n06_gi_fwd-n08_gi_rev 2 2 2 2 2
P01-01-H-n07_fun_fwd-n06_fun_rev 1 1 NA NA NA
P01-01-H-n07_gi_fwd-n05_gi_rev 1 1 1 1 1
P01-01-H-n07_gi_fwd-n07_gi_rev 163 161 161 161 105
P01-01-H-n07_gi_fwd-n08_gi_rev 6 6 6 6 6
P01-01-H-n08_gi_fwd-n07_gi_rev 3 3 3 3 3
P01-01-H-n08_gi_fwd-n08_gi_rev 120 118 118 118 118
P01-01-H-n08_gi_fwd-n09_gi_rev 3 3 3 3 3
P01-01-H-n09_gi_fwd-n07_gi_rev 1 1 1 1 1
P01-01-H-n09_gi_fwd-n08_gi_rev 2 2 2 2 2
P01-01-H-n09_gi_fwd-n09_gi_rev 123 122 122 122 122
P01-01-H-n09_gi_fwd-n10_gi_rev 1 1 1 1 1
P01-02-A-n03_fun_fwd-n03_fun_rev 3 2 NA NA NA
P01-02-A-n04_fun_fwd-n04_fun_rev 1 1 NA NA NA
P01-02-A-n05_fun_fwd-n05_fun_rev 1 1 NA NA NA
P01-02-A-n06_gi_fwd-n06_gi_rev 1 1 1 1 1
P01-02-A-n08_gi_fwd-n08_gi_rev 1 1 1 1 1
P01-02-B-n04_fun_fwd-n04_fun_rev 3 1 NA NA NA
P01-02-B-n05_fun_fwd-n05_fun_rev 3 2 NA NA NA
P01-02-C-n03_fun_fwd-n03_fun_rev 1 1 NA NA NA
P01-02-C-n04_fun_fwd-n04_fun_rev 1 1 NA NA NA
P01-02-C-n05_fun_fwd-n05_fun_rev 2 2 NA NA NA
P01-02-D-n03_fun_fwd-n03_fun_rev 1 1 NA NA NA
P01-02-D-n04_fun_fwd-n04_fun_rev 1 1 NA NA NA
P01-02-D-n07_gi_fwd-n07_gi_rev 1 1 1 1 1
P01-02-D-n09_gi_fwd-n09_gi_rev 1 0 NA NA NA
